plot_id,date,season,district,crop_id,variety,soil_texture,lab_ph,nitrogen,phosphorus,potassium,ec_us_cm,moisture_vwc,yield_t_ha,fertilizer_applied
PLT-0001,2025-03-16,C,Burera,irish_potatoes,Cruza,loamy,6.74,34.3,40.0,46.0,174.2,31.5,3.1,None
PLT-0002,2024-08-25,A,Gatsibo,banana,Local,clayey,7.38,64.8,37.4,91.5,354.1,56.7,5.81,Manure
PLT-0003,2026-01-09,A,Rulindo,barley,Local,loamy,5.65,70.5,45.2,40.8,422.6,52.1,1.06,NPK+Manure
PLT-0004,2024-10-10,B,Ngororero,tea,Improved,loamy,4.62,71.8,35.2,54.4,518.7,68.3,0.96,DAP+Urea
PLT-0005,2024-07-17,A,Rwamagana,sorghum,Local,sandy,6.87,31.1,32.8,37.7,263.4,49.5,1.01,Urea
PLT-0006,2025-07-19,A,Bugesera,groundnut,Improved,sandy,6.73,31.8,37.8,44.3,553.5,46.2,0.82,NPK 17-17-17
PLT-0007,2024-04-17,B,Kamonyi,sugarcane,Improved,loamy,5.33,81.7,32.2,57.9,389.3,32.5,23.13,Urea
PLT-0008,2025-07-17,B,Kirehe,groundnut,Local,loamy,6.38,27.1,34.1,32.1,597.9,50.4,0.57,DAP+Urea
PLT-0009,2024-09-02,C,Rubavu,beans,Climbing,sandy,6.7,37.4,32.0,37.5,311.5,66.5,0.58,DAP+Urea
PLT-0010,2025-06-19,B,Muhanga,soybean,Improved,loamy,5.24,39.7,45.7,47.5,160.8,30.6,0.75,NPK 17-17-17
PLT-0011,2026-07-10,B,Nyaruguru,soybean,Local,clayey,5.6,22.2,18.9,28.6,582.0,38.1,0.46,None
PLT-0012,2026-07-09,A,Nyagatare,sweet_potato,Improved,sandy,7.25,46.4,39.7,81.8,197.4,69.1,5.76,NPK 17-17-17
PLT-0013,2024-06-06,A,Ngoma,sugarcane,Local,alluvial,6.49,60.7,47.3,73.2,386.5,58.6,36.5,Manure
PLT-0014,2025-08-09,B,Ngoma,soybean,Improved,loamy,6.57,33.6,38.0,38.7,205.0,47.7,0.93,Urea
PLT-0015,2024-12-22,B,Huye,beans,Bush,loamy,5.44,38.7,37.6,39.2,302.7,39.6,0.7,NPK 17-17-17
PLT-0016,2025-09-11,C,Rusizi,beans,Mutiki,sandy,5.84,30.8,27.6,30.1,269.6,54.0,0.62,Manure
PLT-0017,2024-01-23,A,Nyamagabe,sugarcane,Local,clayey,7.02,56.1,46.1,65.8,169.3,41.8,24.49,Manure
PLT-0018,2024-01-03,A,Rwamagana,sunflower,Local,sandy,7.59,53.0,48.2,49.4,266.7,37.6,1.06,NPK+Manure
PLT-0019,2026-01-11,A,Ngoma,cassava,Gisari,loamy,6.83,30.5,27.3,56.7,372.1,48.6,12.72,Manure
PLT-0020,2026-09-20,C,Nyarugenge,tomatoes,Local,sandy,6.58,29.4,25.3,40.3,140.2,33.2,5.52,None
PLT-0021,2024-11-22,A,Kayonza,groundnut,Improved,sandy,6.7,14.4,23.1,14.1,168.8,56.8,0.35,None
PLT-0022,2024-10-16,C,Rwamagana,rice,Kigori,alluvial,6.26,97.1,40.1,46.9,156.0,33.1,4.13,DAP+Urea
PLT-0023,2025-06-25,B,Ngoma,groundnut,Improved,loamy,6.13,21.0,25.9,24.4,551.0,51.2,0.75,Urea
PLT-0024,2026-04-09,A,Rwamagana,groundnut,Improved,sandy,5.59,27.7,31.7,28.1,215.7,38.1,0.62,DAP+Urea
PLT-0025,2024-09-10,A,Rulindo,corn,Kigega,clayey,7.35,53.5,43.4,32.7,216.6,45.2,1.1,DAP+Urea
PLT-0026,2026-10-02,A,Musanze,sweet_potato,Local,sandy,6.46,39.7,47.3,86.0,166.6,48.3,6.27,NPK+Manure
PLT-0027,2024-11-11,C,Kirehe,soybean,Improved,loamy,6.87,45.2,52.7,57.3,537.2,36.9,1.01,NPK 17-17-17
PLT-0028,2024-05-19,B,Kayonza,sugarcane,Local,alluvial,5.22,82.3,52.7,77.8,180.6,52.7,30.82,NPK+Manure
PLT-0029,2025-10-14,A,Gicumbi,corn,Kigega,alluvial,6.82,58.4,32.3,42.5,511.5,57.9,1.61,Urea
PLT-0030,2026-05-04,C,Karongi,coffee,Local,loamy,5.59,31.5,15.4,29.5,403.1,61.4,0.37,None
PLT-0031,2025-03-16,B,Ngoma,sorghum,Local,sandy,6.68,32.0,26.2,38.0,567.0,61.1,0.77,DAP+Urea
PLT-0032,2025-08-16,B,Nyamasheke,coffee,Local,loamy,6.99,47.5,36.5,59.6,423.8,38.6,0.46,DAP+Urea
PLT-0033,2026-10-20,A,Ngoma,sugarcane,Local,loamy,6.21,88.8,56.9,92.4,241.6,60.9,42.41,NPK 17-17-17
PLT-0034,2025-10-28,A,Gatsibo,groundnut,Local,loamy,7.05,18.6,30.2,25.3,265.5,38.4,0.44,DAP+Urea
PLT-0035,2025-08-20,B,Rulindo,wheat,Local,clayey,5.85,43.7,42.2,24.6,365.7,59.8,1.02,Urea
PLT-0036,2026-11-01,A,Rulindo,tomatoes,Local,sandy,6.93,75.4,71.5,89.8,169.2,30.1,13.93,NPK+Manure
PLT-0037,2026-03-06,A,Nyabihu,cassava,Ndamirabana,clayey,7.23,53.0,31.9,88.5,295.5,45.2,10.4,NPK+Manure
PLT-0038,2025-01-23,B,Gatsibo,rice,Zhongeng,loamy,6.32,101.0,45.1,39.0,358.1,43.1,3.35,NPK+Manure
PLT-0039,2024-03-25,A,Rusizi,corn,Hybrid WH,loamy,7.7,67.5,36.9,33.1,187.8,41.8,1.61,DAP+Urea
PLT-0040,2026-12-14,B,Rwamagana,cassava,Gisari,clayey,4.99,58.9,32.1,91.2,126.6,62.9,11.53,DAP+Urea
PLT-0041,2025-12-06,B,Nyagatare,cotton,Improved,clayey,6.65,36.0,20.6,22.9,585.5,32.1,0.51,None
PLT-0042,2026-12-23,B,Nyarugenge,tomatoes,Local,sandy,7.28,73.1,38.7,74.8,121.0,38.9,6.11,Manure
PLT-0043,2024-07-19,B,Gicumbi,tea,Local,clayey,4.13,26.2,23.5,38.7,402.4,61.2,0.5,None
PLT-0044,2025-06-04,A,Musanze,tea,Local,clayey,5.3,57.5,27.9,62.2,168.2,33.1,1.08,Manure
PLT-0045,2024-08-17,A,Gisagara,banana,Improved,loamy,6.33,35.4,13.4,45.0,442.8,44.9,3.46,None
PLT-0046,2024-01-24,B,Burera,wheat,Local,loamy,6.23,63.1,46.5,41.1,166.1,31.5,1.58,DAP+Urea
